zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
21230,3292,42890.42000000036, 21230,zip,34947,1008,94.19978825077975
21231,156,11765.870000000004, 21231,zip,16160,963,9.653465346534654
21234,4150,80660.86000000071, 21234,zip,68938,1666,60.199019408744086
21236,5367,102116.84000000118, 21236,zip,38573,1604,139.13877582765147
21237,1956,57059.060000000005, 21237,zip,30286,1265,64.5842963745625
21239,410,10179.439999999997, 21239,zip,31133,1192,13.169305881219284
21240,1,26.03, 21240,zip,0,12,Inf
21244,549,13203.5, 21244,zip,35724,1529,15.367819952972791
21250,2,105.21, 21250,zip,2415,470,0.8281573498964804
21251,50,1973.96, 21251,zip,933,161,53.59056806002144
21252,4,100, 21252,zip,2271,283,1.7613386173491854
21286,3403,97379.96999999994, 21286,zip,20483,785,166.1377727871894
21401,8690,458704.35999999574, 21401,zip,37081,1185,234.35182438445565
21402,64,1129.13, 21402,zip,6409,404,9.985957247620533
21403,3952,180484.76000000135, 21403,zip,30855,1101,128.08296872467994
21405,107,3649.420000000001, 21405,zip,352,118,303.9772727272727
21409,4980,188649.09000000064, 21409,zip,20352,646,244.69339622641508
21502,4775,103737.06000000116, 21502,zip,42583,694,112.13395016790737
21520,98,3721.250000000001, 21520,zip,2212,451,44.30379746835443
21521,33,1075.8800000000003, 21521,zip,1104,169,29.89130434782609
21522,1,47, 21522,zip,164,90,6.097560975609756
21523,7,86.89, 21523,zip,199,90,35.175879396984925
21524,20,457.2, 21524,zip,740,220,27.027027027027028
21529,57,1045.86, 21529,zip,457,166,124.72647702407002
21530,89,1889.75, 21530,zip,1961,274,45.385007649158595
21531,246,7033.79, 21531,zip,1895,206,129.81530343007915
21532,2300,30815.46000000011, 21532,zip,15062,613,152.7021643871996
21536,814,7843.590000000014, 21536,zip,4145,443,196.38118214716528
21538,29,862.24, 21538,zip,408,107,71.07843137254902
21539,32,1421.7499999999998, 21539,zip,2807,321,11.400071250445315
21540,1,21.07, 21540,zip,109,58,9.174311926605505
21541,216,9666.629999999996, 21541,zip,1354,265,159.52732644017726
21543,280,4508.579999999999, 21543,zip,164,64,1707.3170731707316
21545,64,1568.5600000000002, 21545,zip,1725,177,37.10144927536232
21550,1221,35610.61999999992, 21550,zip,14112,500,86.52210884353742
21555,98,2438.6499999999987, 21555,zip,1541,272,63.595068137573
21557,69,1298.9399999999994, 21557,zip,1530,338,45.09803921568627
21561,323,20203.78999999999, 21561,zip,2606,297,123.94474290099771
21562,73,1325.5500000000004, 21562,zip,3271,284,22.317334148578418
21601,3519,198588.0400000003, 21601,zip,23458,495,150.01278881405065
21607,10,253.65, 21607,zip,839,293,11.918951132300357
21610,22,612.65, 21610,zip,386,127,56.994818652849744
21612,40,2340.93, 21612,zip,360,113,111.1111111111111
21613,1016,25820.179999999946, 21613,zip,17109,381,59.38394996785318
21617,1393,44502.849999999904, 21617,zip,10741,681,129.68997300065172
21619,1752,53307.83999999997, 21619,zip,5891,566,297.40281785774914
21620,3547,57317.93000000011, 21620,zip,13155,650,269.63131889015585
21622,47,1015.8599999999996, 21622,zip,1030,221,45.631067961165044
21623,160,11603.930000000004, 21623,zip,2000,395,80
21624,2,200, 21624,zip,207,118,9.66183574879227
21625,181,6536.09, 21625,zip,2720,279,66.54411764705883
